Driver instructions:

Strategy instructions:

Power 1:

Power 2:

Power 3:

Rpm 1:
1, rpm, x, 10:57:29.518
715, rpm, 31, 11:16:37.508
716, rpm, 31, 11:16:37.508
717, rpm, 31, 11:16:37.508
718, rpm, 31, 11:16:37.508
719, rpm, 31, 11:16:37.508
720, rpm, 31, 11:16:37.508
721, rpm, 0, 11:19:29.965
722, rpm, 0, 11:19:29.965
723, rpm, 0, 11:19:29.965
724, rpm, 0, 11:19:29.965
725, rpm, 11, 11:19:35.823
726, rpm, 11, 11:19:35.823
727, rpm, 11, 11:19:35.823
728, rpm, 11, 11:19:35.823
729, rpm, 11, 11:19:35.823
730, rpm, 11, 11:19:35.823
731, rpm, 11, 11:19:35.823
732, rpm, 11, 11:19:35.823
733, rpm, 11, 11:19:35.823
734, rpm, 11, 11:19:35.823
735, rpm, 11, 11:19:35.823
736, rpm, 11, 11:19:35.823
737, rpm, 11, 11:19:35.823
738, rpm, 11, 11:19:35.823
739, rpm, 11, 11:19:35.823
740, rpm, 11, 11:19:35.823
741, rpm, 11, 11:19:35.823
742, rpm, 11, 11:19:35.823
743, rpm, 11, 11:19:35.823
744, rpm, 11, 11:19:35.823
745, rpm, 11, 11:19:35.823
746, rpm, 11, 11:19:35.823
747, rpm, 11, 11:19:35.823
748, rpm, 1, 11:20:11.385
749, rpm, 1, 11:20:11.385
750, rpm, 1, 11:20:11.385
751, rpm, 1, 11:20:11.385
752, rpm, 1, 11:20:11.385
753, rpm, 1, 11:20:11.385
754, rpm, 1, 11:20:11.385
755, rpm, 1, 11:20:11.385
